Cabo,,MCM,Normal,,Emerg.,r1,x1,b1
1 x Linnet,,336,435,,580,0.1914,0.5014,3.3018
1 x Ibis,,397,485,,645,0.1622,0.4952,3.3456
1 x Hawk,,477,540,,720,0.1354,0.4883,3.3951
1 x Dove,,556,595,,795,0.116,0.4821,3.4379
1 x Squab,,605,625,,840,0.1069,0.479,3.4601
1 x Grosbeak,,636,640,,865,0.1017,0.4772,3.4748
1 x Gannet,,666,660,,890,0.0971,0.4753,3.4891
1 x Starling,,716,690,,930,0.0906,0.4727,3.5098
1 x Drake,,795,735,,995,0.0817,0.469,3.541
1 x Tern,,795,730,,985,0.0819,0.4734,3.5103
1 x Ruddy,,900,785,,1065,0.0726,0.4691,3.5478
1 x Rail,,954,810,,1100,0.0686,0.4665,3.5645
1 x Ortolan,,1033,850,,1155,0.0635,0.4634,3.5883
1 x Bluejay,,1113,890,,1210,0.0592,0.4609,3.6114
2 x Linnet,,336,865,,1150,0.0959,0.346,4.7827
2 x Ibis,,397,960,,1280,0.0813,0.3429,4.828
2 x Hawk,,477,1070,,1430,0.0679,0.3394,4.8794
2 x Dove,,556,1175,,1580,0.0582,0.3363,4.923
2 x Squab,,605,1235,,1660,0.0536,0.3348,4.9447
2 x Grosbeak,,636,1275,,1715,0.051,0.3339,4.9604
2 x Gannet,,666,1310,,1765,0.0487,0.3329,4.9752
2 x Starling,,716,1370,,1845,0.0455,0.3317,4.9962
2 x Drake,,795,1460,,1970,0.041,0.3298,5.0278
2 x Tern,,795,1445,,1950,0.0411,0.332,4.9906
2 x Ruddy,,900,1555,,2105,0.0364,0.3299,5.029
2 x Rail,,954,1610,,2185,0.0344,0.3286,5.0446
2 x Ortolan,,1033,1690,,2295,0.0319,0.327,5.0681
2 x Bluejay,,1113,1765,,2400,0.0297,0.3258,5.0912